"","family","Genus","Sci_name","Sci_name_simp","author","CN_1","CN_2","SP","order","cbname"
"1","§Ë½º¬ì Hesperiidae Latreille, 1809","ªø¯Í§Ë½ºÄÝ Badamia Moore, 1881","Badamia exclamationis Fabricius, 1775","Badamia exclamationis","Fabricius, 1775","ªø¯Í§Ë½º","²Hºñ§Ë½º","",7,"*Badamia exclamationis* Fabricius, 1775 ²Hºñ§Ë½º ªø¯Í§Ë½º"
"2","§Ë½º¬ì Hesperiidae Latreille, 1809","ºñ§Ë½ºÄÝ Choaspes Moore, 1881","Choaspes benjaminii formosanus Fruhstorfer, 1911","Choaspes benjaminii formosanus","Fruhstorfer, 1911","ºñ§Ë½º","¤jºñ§Ë½º","",8,"*Choaspes benjaminii formosanus* Fruhstorfer, 1911 ¤jºñ§Ë½º ºñ§Ë½º"
"3","§Ë½º¬ì Hesperiidae Latreille, 1809","ºñ§Ë½ºÄÝ Choaspes Moore, 1881","Choaspes xanthopogon chrysopterus Hsu, 1988","Choaspes xanthopogon chrysopterus","Hsu, 1988","½Å¯Íºñ§Ë½º","½Å¯Íºñ§Ë½º","",9,"*Choaspes xanthopogon chrysopterus* Hsu, 1988 ½Å¯Íºñ§Ë½º ½Å¯Íºñ§Ë½º"
"4","§Ë½º¬ì Hesperiidae Latreille, 1809","¯]§Ë½ºÄÝ Erynnis Schrank, 1801","Erynnis montanus neomontanus Murayama & Yoshisaka, 1959","Erynnis montanus neomontanus","Murayama & Yoshisaka, 1959","²`¤s¯]§Ë½º","²`¤s§Ë½º","ºÃ°ÝºØ",10,"*Erynnis montanus neomontanus* Murayama & Yoshisaka, 1959 ²`¤s§Ë½º ²`¤s¯]§Ë½º"
"5","§Ë½º¬ì Hesperiidae Latreille, 1809","±a§Ë½ºÄÝ Lobocla Moore, 1884","Lobocla bifasciata kodairai  Sonan, 1936","Lobocla bifasciata kodairai","Sonan, 1936","Âù±a§Ë½º","¥Õ¯¾§Ë½º","",11,"*Lobocla bifasciata kodairai* Sonan, 1936 ¥Õ¯¾§Ë½º Âù±a§Ë½º"
"6","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus pulomaya formosanus Fruhstorfer, 1909","Celaenorrhinus pulomaya formosanus","Fruhstorfer, 1909","¦y¯Í¬P§Ë½º","½´µÜ¶À¯¾§Ë½º","",12,"*Celaenorrhinus pulomaya formosanus* Fruhstorfer, 1909 ½´µÜ¶À¯¾§Ë½º ¦y¯Í¬P§Ë½º"
"7","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus kurosawai Shirozu, 1960","Celaenorrhinus kurosawai","Shirozu, 1960","¶Â¿A¬P§Ë½º","®V¶À¯¾§Ë½º","¯S¦³ºØ",13,"*Celaenorrhinus kurosawai* Shirozu, 1960 ®V¶À¯¾§Ë½º ¶Â¿A¬P§Ë½º"
"8","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus ratna Fruhstorfer, 1909","Celaenorrhinus ratna","Fruhstorfer, 1909","¤p¬P§Ë½º","¥ÕÅ½¶À¯¾§Ë½º","",14,"*Celaenorrhinus ratna* Fruhstorfer, 1909 ¥ÕÅ½¶À¯¾§Ë½º ¤p¬P§Ë½º"
"9","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus chihhsiaoi Hsu, 1990","Celaenorrhinus chihhsiaoi","Hsu, 1990","Å^¾y¬P§Ë½º","Å^¾y¶À¯¾§Ë½º","¯S¦³ºØ",15,"*Celaenorrhinus chihhsiaoi* Hsu, 1990 Å^¾y¶À¯¾§Ë½º Å^¾y¬P§Ë½º"
"10","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus horishanus Shirozu, 1960","Celaenorrhinus horishanus","Shirozu, 1960","®H¨½¬P§Ë½º","®H¨½¶À¯¾§Ë½º","¯S¦³ºØ",16,"*Celaenorrhinus horishanus* Shirozu, 1960 ®H¨½¶À¯¾§Ë½º ®H¨½¬P§Ë½º"
"11","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus major Hsu, 1990","Celaenorrhinus major","Hsu, 1990","¥xÆW¬y¬P§Ë½º","µØ¦è¶À¯¾§Ë½º","¯S¦³ºØ",17,"*Celaenorrhinus major* Hsu, 1990 µØ¦è¶À¯¾§Ë½º ¥xÆW¬y¬P§Ë½º"
"12","§Ë½º¬ì Hesperiidae Latreille, 1809","¬P§Ë½ºÄÝ Celaenorrhinus Hubner, 1819","Celaenorrhinus maculosus taiwanus Matsumura, 1919","Celaenorrhinus maculosus taiwanus","Matsumura, 1919","¤j¬y¬P§Ë½º","¤j«¬¶À¯¾§Ë½º","",18,"*Celaenorrhinus maculosus taiwanus* Matsumura, 1919 ¤j«¬¶À¯¾§Ë½º ¤j¬y¬P§Ë½º"
"13","§Ë½º¬ì Hesperiidae Latreille, 1809","ÃÌ§Ë½ºÄÝ Pseudocoladenia Shirozu & Saigusa, 1962","Pseudocoladenia dan sadakoe Sonan & Mitono, 1936","Pseudocoladenia dan sadakoe","Sonan & Mitono, 1936","¶ÀÃÌ§Ë½º","¤K¥P¤s§Ë½º","",19,"*Pseudocoladenia dan sadakoe* Sonan & Mitono, 1936 ¤K¥P¤s§Ë½º ¶ÀÃÌ§Ë½º"
"14","§Ë½º¬ì Hesperiidae Latreille, 1809","µ¡§Ë½ºÄÝ Coladenia Moore, 1881","Coladenia pinsbukana Shimonoya & Murayama, 1976","Coladenia pinsbukana","Shimonoya & Murayama, 1976","¥xÆWµ¡§Ë½º","¶À«á¯Í§Ë½º","¯S¦³ºØ",20,"*Coladenia pinsbukana* Shimonoya & Murayama, 1976 ¶À«á¯Í§Ë½º ¥xÆWµ¡§Ë½º"
"15","§Ë½º¬ì Hesperiidae Latreille, 1809","»ã§Ë½ºÄÝ Satarupa Moore, 1866","Satarupa majasra Fruhstorfer, 1909","Satarupa majasra","Fruhstorfer, 1909","¤p¯¾»ã§Ë½º","¤j¥Õ¸È§Ë½º","¯S¦³ºØ",21,"*Satarupa majasra* Fruhstorfer, 1909 ¤j¥Õ¸È§Ë½º ¤p¯¾»ã§Ë½º"
"16","§Ë½º¬ì Hesperiidae Latreille, 1809","»ã§Ë½ºÄÝ Satarupa Moore, 1866","Satarupa formosibia Strand, 1927","Satarupa formosibia","Strand, 1927","¥xÆW»ã§Ë½º","¥xÆW¤j¥Õ¸È§Ë½º","¯S¦³ºØ",22,"*Satarupa formosibia* Strand, 1927 ¥xÆW¤j¥Õ¸È§Ë½º ¥xÆW»ã§Ë½º"
"17","§Ë½º¬ì Hesperiidae Latreille, 1809","·æ§Ë½ºÄÝ Seseria Matsumura, 1919","Seseria formosana Fruhstorfer, 1909","Seseria formosana","Fruhstorfer, 1909","¥xÆW·æ§Ë½º","¤j¶Â¬P§Ë½º","¯S¦³ºØ",23,"*Seseria formosana* Fruhstorfer, 1909 ¤j¶Â¬P§Ë½º ¥xÆW·æ§Ë½º"
"18","§Ë½º¬ì Hesperiidae Latreille, 1809","¸È§Ë½ºÄÝ Tagiades Hubner, 1819","Tagiades cohaerens Mabille, 1914","Tagiades cohaerens","Mabille, 1914","¥Õ¸È§Ë½º","¥Õ¸È§Ë½º","",24,"*Tagiades cohaerens* Mabille, 1914 ¥Õ¸È§Ë½º ¥Õ¸È§Ë½º"
"19","§Ë½º¬ì Hesperiidae Latreille, 1809","¸È§Ë½ºÄÝ Tagiades Hubner, 1819","Tagiades trebellius martinus Plotz, 1884","Tagiades trebellius martinus","Plotz, 1884","¼ö±a¥Õ¸È§Ë½º","ÄõÀ¬¥Õ¸È§Ë½º","",25,"*Tagiades trebellius martinus* Plotz, 1884 ÄõÀ¬¥Õ¸È§Ë½º ¼ö±a¥Õ¸È§Ë½º"
"20","§Ë½º¬ì Hesperiidae Latreille, 1809","¥É±a§Ë½ºÄÝ Daimio Murray, 1875","Daimio tethys moori Mabille, 1876","Daimio tethys moori","Mabille, 1876","¥É±a§Ë½º","¥É±a§Ë½º","",26,"*Daimio tethys moori* Mabille, 1876 ¥É±a§Ë½º ¥É±a§Ë½º"
"21","§Ë½º¬ì Hesperiidae Latreille, 1809","¥Õ§Ë½ºÄÝ Abraximorpha Elwes & Edwards, 1897","Abraximorpha davidii ermasis Fruhstorfer, 1914","Abraximorpha davidii ermasis","Fruhstorfer, 1914","¥Õ§Ë½º","¥Õ§Ë½º","",27,"*Abraximorpha davidii ermasis* Fruhstorfer, 1914 ¥Õ§Ë½º ¥Õ§Ë½º"
"22","§Ë½º¬ì Hesperiidae Latreille, 1809","¥Õ§Ë½ºÄÝ Abraximorpha Elwes & Edwards, 1897","Pelopidas mathias oberthueri Evans, 1937","Pelopidas mathias oberthueri","Evans, 1937","½Å§Ë½º","½Å§Ë½º","",28,"*Pelopidas mathias oberthueri* Evans, 1937 ½Å§Ë½º ½Å§Ë½º"
"23","§Ë½º¬ì Hesperiidae Latreille, 1809","¥Õ§Ë½ºÄÝ Abraximorpha Elwes & Edwards, 1897","Pelopidas agna Moore, 1866","Pelopidas agna","Moore, 1866","¦y¯Í½Å§Ë½º","¦y¯Í½Å§Ë½º","",29,"*Pelopidas agna* Moore, 1866 ¦y¯Í½Å§Ë½º ¦y¯Í½Å§Ë½º"
"24","§Ë½º¬ì Hesperiidae Latreille, 1809","¥Õ§Ë½ºÄÝ Abraximorpha Elwes & Edwards, 1897","Pelopidas sinensis Mabille, 1877","Pelopidas sinensis","Mabille, 1877","¤¤µØ½Å§Ë½º","¤¤µØ½Å§Ë½º","",30,"*Pelopidas sinensis* Mabille, 1877 ¤¤µØ½Å§Ë½º ¤¤µØ½Å§Ë½º"
"25","§Ë½º¬ì Hesperiidae Latreille, 1809","¥Õ§Ë½ºÄÝ Abraximorpha Elwes & Edwards, 1897","Pelopidas conjuncta Herrich - Schaffer, 1869","Pelopidas conjuncta","Herrich - Schaffer, 1869","¥¨½Å§Ë½º","¥xÆW¤j½Å§Ë½º","",31,"*Pelopidas conjuncta* Herrich - Schaffer, 1869 ¥xÆW¤j½Å§Ë½º ¥¨½Å§Ë½º"
"26","§Ë½º¬ì Hesperiidae Latreille, 1809","¤Õ§Ë½ºÄÝ Polytremis Mabille, 1904","Polytremis lubricans kuyaniana Matsumura, 1919","Polytremis lubricans kuyaniana","Matsumura, 1919","¶À¯¾¤Õ§Ë½º","¶À¯¾½Å§Ë½º","",32,"*Polytremis lubricans kuyaniana* Matsumura, 1919 ¶À¯¾½Å§Ë½º ¶À¯¾¤Õ§Ë½º"
"27","§Ë½º¬ì Hesperiidae Latreille, 1809","¤Õ§Ë½ºÄÝ Polytremis Mabille, 1904","Polytremis eltola tappana Matsumura, 1919","Polytremis eltola tappana","Matsumura, 1919","¸H¯¾¤Õ§Ë½º","¹F¨¹½Å§Ë½º","",33,"*Polytremis eltola tappana* Matsumura, 1919 ¹F¨¹½Å§Ë½º ¸H¯¾¤Õ§Ë½º"
"28","§Ë½º¬ì Hesperiidae Latreille, 1809","¤Õ§Ë½ºÄÝ Polytremis Mabille, 1904","Polytremis theca Evans, 1937","Polytremis theca","Evans, 1937","µu¯¾¤Õ§Ë½º","¤j½Å§Ë½º","ºÃ°ÝºØ",34,"*Polytremis theca* Evans, 1937 ¤j½Å§Ë½º µu¯¾¤Õ§Ë½º"
"29","§Ë½º¬ì Hesperiidae Latreille, 1809","¤Õ§Ë½ºÄÝ Polytremis Mabille, 1904","Polytremis kiraizana Sonan, 1938","Polytremis kiraizana","Sonan, 1938","©_µÜ¤Õ§Ë½º","©_µÜ½Å§Ë½º","¯S¦³ºØ",36,"*Polytremis kiraizana* Sonan, 1938 ©_µÜ½Å§Ë½º ©_µÜ¤Õ§Ë½º"
"30","§Ë½º¬ì Hesperiidae Latreille, 1809","Åf§Ë½ºÄÝ Caltoris Swinhoe, 1893","Caltoris cahira austeni Moore, 1883","Caltoris cahira austeni","Moore, 1883","Åf§Ë½º","¶Â¯¾§Ë½º","",37,"*Caltoris cahira austeni* Moore, 1883 ¶Â¯¾§Ë½º Åf§Ë½º"
"31","§Ë½º¬ì Hesperiidae Latreille, 1809","Åf§Ë½ºÄÝ Caltoris Swinhoe, 1893","Caltoris bromus yanuca Fruhstorfer, 1911","Caltoris bromus yanuca","Fruhstorfer, 1911","ÅÜ¯¾Åf§Ë½º","µL¯¾§Ë½º","",38,"*Caltoris bromus yanuca* Fruhstorfer, 1911 µL¯¾§Ë½º ÅÜ¯¾Åf§Ë½º"
"32","»ñ½º¬ì Papilionidae Latreille, 1802","»n»ñ½ºÄÝ Troides Hubner, 1819","Troides aeacus formosanus Rothschild, 1899","Troides aeacus formosanus","Rothschild, 1899","¶À»n»ñ½º","¶À»n»ñ½º","",40,"*Troides aeacus formosanus* Rothschild, 1899 ¶À»n»ñ½º ¶À»n»ñ½º"
"33","»ñ½º¬ì Papilionidae Latreille, 1802","»n»ñ½ºÄÝ Troides Hubner, 1819","Troides magellanus sonani Matsumura, 1932","Troides magellanus sonani","Matsumura, 1932","¯]¥ú»n»ñ½º","¯]¥ú»ñ½º","",41,"*Troides magellanus sonani* Matsumura, 1932 ¯]¥ú»ñ½º ¯]¥ú»n»ñ½º"
"34","»ñ½º¬ì Papilionidae Latreille, 1802","»n»ñ½ºÄÝ Troides Hubner, 1819","Troides plateni Staudinger, 1889","Troides plateni","Staudinger, 1889","¤Ú©Ô±æ»n»ñ½º","»Z¤ó¶À»n»ñ½º","°¸²£ºØ",42,"*Troides plateni* Staudinger, 1889 »Z¤ó¶À»n»ñ½º ¤Ú©Ô±æ»n»ñ½º"
"35","»ñ½º¬ì Papilionidae Latreille, 1802","ÀÆ»ñ½ºÄÝ Atrophaneura Reakirt, 1865","Atrophaneura horishana Matsumura, 1910","Atrophaneura horishana","Matsumura, 1910","ÀÆ»ñ½º","ÀÆ»ñ½º","¯S¦³ºØ",43,"*Atrophaneura horishana* Matsumura, 1910 ÀÆ»ñ½º ÀÆ»ñ½º"
"36","»ñ½º¬ì Papilionidae Latreille, 1802","ÀÆ»ñ½ºÄÝ Atrophaneura Reakirt, 1865","Atrophaneura semperi C. & R. Felder, 1861","Atrophaneura semperi","C. & R. Felder, 1861","µá«ß»«ÀÆ»ñ½º","¥Õ­IÀÆ»ñ½º","°¸²£ºØ",44,"*Atrophaneura semperi* C. & R. Felder, 1861 ¥Õ­IÀÆ»ñ½º µá«ß»«ÀÆ»ñ½º"
"37","»ñ½º¬ì Papilionidae Latreille, 1802","Åe»ñ½ºÄÝ Byasa Moore, 1882","Byasa polyeuctes termessus Fruhstorfer, 1842","Byasa polyeuctes termessus","Fruhstorfer, 1842","¦h«ºÅe»ñ½º","¤j¬õ¯¾»ñ½º","",45,"*Byasa polyeuctes termessus* Fruhstorfer, 1842 ¤j¬õ¯¾»ñ½º ¦h«ºÅe»ñ½º"
"38","»ñ½º¬ì Papilionidae Latreille, 1802","Åe»ñ½ºÄÝ Byasa Moore, 1882","Byasa impediens febanus Fruhstorfer, 1908","Byasa impediens febanus","Fruhstorfer, 1908","ªø§ÀÅe»ñ½º","¥xÆWÅe­»»ñ½º","",46,"*Byasa impediens febanus* Fruhstorfer, 1908 ¥xÆWÅe­»»ñ½º ªø§ÀÅe»ñ½º"
"39","»ñ½º¬ì Papilionidae Latreille, 1802","Åe»ñ½ºÄÝ Byasa Moore, 1882","Byasa alcinous mansonensis Fruhstorfer, 1901","Byasa alcinous mansonensis","Fruhstorfer, 1901","Åe»ñ½º","Åe­»»ñ½º","",47,"*Byasa alcinous mansonensis* Fruhstorfer, 1901 Åe­»»ñ½º Åe»ñ½º"
"40","»ñ½º¬ì Papilionidae Latreille, 1802","¯]»ñ½ºÄÝ Pachliopta Reakirt, 1865","Pachliopta aristolochiae interposita Fruhstorfer, 1901","Pachliopta aristolochiae interposita","Fruhstorfer, 1901","¬õ¯]»ñ½º","¬õ¯¾»ñ½º","",48,"*Pachliopta aristolochiae interposita* Fruhstorfer, 1901 ¬õ¯¾»ñ½º ¬õ¯]»ñ½º"
"41","»ñ½º¬ì Papilionidae Latreille, 1802","¼C»ñ½ºÄÝ Pazala Moore, 1888","Pazala eurous asakurae Matsumura, 1908","Pazala eurous asakurae","Matsumura, 1908","¼C»ñ½º","¤É¤Ñ»ñ½º","",49,"*Pazala eurous asakurae* Matsumura, 1908 ¤É¤Ñ»ñ½º ¼C»ñ½º"
"42","»ñ½º¬ì Papilionidae Latreille, 1802","¼C»ñ½ºÄÝ Pazala Moore, 1888","Pazala timur chungianus Murayama, 1961","Pazala timur chungianus","Murayama, 1961","¶Â§À¼C»ñ½º","¤ì¥Í»ñ½º","",50,"*Pazala timur chungianus* Murayama, 1961 ¤ì¥Í»ñ½º ¶Â§À¼C»ñ½º"
